constructor,constructor_nationality
Renault,FRA
Brabham,GBR
Ligier,FRA
Williams,GBR
Fittipaldi,BRA
Tyrrell,GBR
Team Lotus,GBR
McLaren,GBR
Arrows,GBR
Ferrari,ITA
Alfa Romeo,CHE
Ensign,GBR
Toleman,GBR
Benetton,ITA
March,GBR
Dallara,ITA
Onyx,GBR
Larrousse,FRA
Leyton House,GBR
Jordan,IRL
Footwork,GBR
Minardi,ITA
Forti,ITA
Prost,FRA
Stewart,GBR
BAR,GBR
Jaguar,GBR
Toyota,JPN
Red Bull,AUT
Honda,JPN
Alfa Romeo,DEU
AlphaTauri,ITA
Super Aguri,JPN
Spyker MF1,NLD
MF1,RUS
Spyker,NLD
Racing Point,IND
Brawn,GBR
Mercedes,DEU
Virgin,GBR
Lotus,MYS
HRT,ESP
Renault,GBR
Caterham,MYS
Marussia,RUS
Manor Marussia,GBR
Haas F1 Team,USA
Racing Point,GBR
